Product_Number,T일 예정 수주량,T-1일 예정 수주량,T-2일 예정 수주량,T-3일 예정 수주량,T-4일 예정 수주량,작년 T일 예정 수주량,작년 T-1일 예정 수주량,작년 T-2일 예정 수주량,작년 T-3일 예정 수주량,작년 T-4일 예정 수주량,T일 예상 수주량,T-1일 예상 수주량,T-2일 예상 수주량,T-3일 예상 수주량,T-4일 예상 수주량,DateTime,DoW,Temperature,Humidity
Product_86,632,558.0,526.0,555.0,532.0,0,511.0,548.0,560.0,533.0,586,176.0,307.0,904.0,877.0,2022-01-30 06:32:00,Sunday,9.10625,17.95275
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,504.0,492.0,459.0,586,528.0,272.0,926.0,863.0,2022-01-31 07:13:00,Monday,9.1845,14.93975
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,341.0,0.0,586,528.0,551.0,641.0,969.0,2022-02-01 06:30:00,Tuesday,8.190540541,19.41513514
Product_86,632,0.0,0.0,0.0,449.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,571.0,2022-02-02 06:29:00,Wednesday,9.003850932,24.23149068
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-03 06:31:00,Thursday,9.169761905,18.76190476
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-04 06:33:00,Friday,13.86566667,11.53
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-05 06:35:00,Saturday,13.41,14.03086957
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-06 06:33:00,Sunday,10.74317992,15.46050209
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-07 15:38:00,Monday,8.561219512,22.85243902
Product_86,632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,528.0,551.0,480.0,344.0,2022-02-08 06:28:00,Tuesday,13.43014085,12.98084507
Product_86,641,0.0,0.0,0.0,0.0,351,0.0,0.0,0.0,0.0,481,528.0,551.0,480.0,344.0,2022-02-09 12:58:00,Wednesday,8.872222222,23.94111111
Product_86,523,488.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,410,635.0,551.0,480.0,344.0,2022-02-10 18:00:00,Thursday,14.10637367,28.37485424
Product_86,555,480.0,489.0,0.0,0.0,317,337.0,460.0,0.0,0.0,482,499.0,409.0,480.0,344.0,2022-02-11 11:58:00,Friday,12.86730769,19.14115385
Product_86,609,506.0,477.0,426.0,0.0,399,395.0,394.0,431.0,0.0,0,0.0,0.0,0.0,344.0,2022-02-12 17:34:00,Saturday,12.16421053,30.45789474
Product_86,529,411.0,413.0,412.0,412.0,456,453.0,445.0,442.0,428.0,557,0.0,0.0,0.0,395.0,2022-02-14 07:08:00,Monday,15.194,37.7588
Product_86,0,0.0,0.0,0.0,0.0,467,466.0,430.0,436.0,437.0,552,522.0,523.0,539.0,465.0,2022-02-15 08:35:00,Tuesday,16.93821429,23.9175
Product_86,0,0.0,0.0,0.0,0.0,467,395.0,384.0,371.0,382.0,552,523.0,514.0,488.0,398.0,2022-02-16 07:03:00,Wednesday,12.67357143,13.08071429
Product_86,392,0.0,391.0,307.0,323.0,447,395.0,448.0,474.0,449.0,466,523.0,467.0,415.0,436.0,2022-02-17 16:30:00,Thursday,10.44060606,12.1330303
Product_86,391,350.0,391.0,351.0,379.0,0,0.0,448.0,0.0,0.0,577,296.0,467.0,296.0,291.0,2022-02-18 10:29:00,Friday,12.20880499,19.34153389
Product_86,531,459.0,452.0,351.0,451.0,0,0.0,561.0,0.0,561.0,638,424.0,294.0,296.0,295.0,2022-02-19 18:34:00,Saturday,13.72509434,27.18867925
Product_86,569,458.0,475.0,466.0,451.0,586,587.0,571.0,552.0,561.0,0,0.0,0.0,0.0,295.0,2022-02-20 17:32:00,Sunday,10.45040816,20.37428571
Product_86,555,422.0,376.0,375.0,397.0,552,575.0,616.0,628.0,524.0,444,434.0,459.0,304.0,484.0,2022-02-21 15:05:00,Monday,8.996181818,11.62236364
Product_86,555,470.0,415.0,409.0,423.0,552,492.0,703.0,587.0,587.0,444,410.0,461.0,386.0,328.0,2022-02-22 07:05:00,Tuesday,14.53931507,15.87356164
Product_86,555,470.0,0.0,0.0,0.0,552,492.0,557.0,633.0,598.0,444,410.0,443.0,548.0,545.0,2022-02-23 06:29:00,Wednesday,11.64701493,16.43373134
Product_86,555,470.0,0.0,0.0,0.0,552,492.0,557.0,482.0,485.0,444,410.0,443.0,584.0,542.0,2022-02-24 06:28:00,Thursday,10.90306122,12.60530612
Product_86,559,470.0,0.0,0.0,524.0,0,492.0,557.0,482.0,0.0,553,410.0,443.0,584.0,488.0,2022-02-25 11:34:00,Friday,13.66616438,12.7109589
Product_86,513,477.0,0.0,0.0,524.0,595,499.0,557.0,482.0,0.0,468,523.0,443.0,584.0,488.0,2022-02-26 12:38:00,Saturday,14.05785714,20.79178571
Product_86,564,491.0,451.0,0.0,524.0,616,601.0,406.0,482.0,0.0,0,0.0,0.0,584.0,488.0,2022-02-27 16:30:00,Sunday,16.35078947,25.96671053
Product_86,632,540.0,522.0,564.0,524.0,543,554.0,543.0,444.0,0.0,533,528.0,515.0,417.0,488.0,2022-02-28 15:34:00,Monday,12.18428571,21.08571429
Product_86,595,512.0,493.0,492.0,497.0,598,569.0,555.0,544.0,581.0,507,510.0,489.0,501.0,558.0,2022-03-01 07:42:00,Tuesday,16.41755319,19.47382979
Product_86,595,0.0,0.0,0.0,0.0,598,605.0,588.0,581.0,574.0,507,463.0,464.0,350.0,372.0,2022-03-02 06:36:00,Wednesday,15.53977778,26.71933333
Product_86,588,0.0,511.0,514.0,584.0,534,605.0,521.0,513.0,497.0,408,463.0,400.0,353.0,6.0,2022-03-03 16:38:00,Thursday,16.33257143,19.11628571
Product_86,599,544.0,511.0,548.0,560.0,0,0.0,521.0,0.0,0.0,480,82.0,400.0,70.0,23.0,2022-03-04 15:57:00,Friday,15.47233333,24.22916667
Product_86,624,567.0,568.0,548.0,572.0,504,504.0,503.0,0.0,502.0,423,247.0,142.0,70.0,132.0,2022-03-05 16:01:00,Saturday,19.718,30.57
Product_86,678,605.0,603.0,597.0,572.0,582,567.0,549.0,509.0,502.0,0,0.0,0.0,0.0,132.0,2022-03-06 15:01:00,Sunday,14.54181818,13.35
